2019-03-11 19:44:28,299 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:44:28,302 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:44:29,133 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax:javaee-api:jar:7.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:44:29,144 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for mysql:mysql-connector-java:jar:8.0.15 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:44:29,281 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-aspects:jar:4.3.10.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:44:29,296 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-orm:jar:4.3.14.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:44:29,313 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-dbcp2:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:44:29,443 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:44:29,447 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:44:29,473 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:44:29,475 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:45:16,628 [Worker-66] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-03-11 19:45:17,350 [Worker-66] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hp:homework10:0.0.1-SNAPSHOT @ C:\chenjian\eclipse1\workplace\homework10\pom.xml.
2019-03-11 19:45:17,365 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax:javaee-api:jar:7.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:17,370 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for mysql:mysql-connector-java:jar:8.0.15 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:17,438 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-aspects:jar:4.3.10.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:17,446 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-orm:jar:4.3.14.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:17,454 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-dbcp2:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:17,912 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /homework10/src/main/java
2019-03-11 19:45:17,913 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /homework10/src/main/resources
2019-03-11 19:45:17,924 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /homework10/src/test/java
2019-03-11 19:45:18,328 [Worker-66] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-03-11 19:45:18,571 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax:javaee-api:jar:7.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:18,575 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for mysql:mysql-connector-java:jar:8.0.15 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:18,639 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-aspects:jar:4.3.10.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:18,645 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-orm:jar:4.3.14.RELEASE is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:18,652 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-dbcp2:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-11 19:45:18,721 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:18,723 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:45:18,739 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:18,740 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:45:44,119 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:44,128 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-11 19:45:44,133 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:44,136 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:45:47,763 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:47,766 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:45:47,768 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:47,770 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:45:58,346 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:58,350 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:45:58,352 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:45:58,354 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:46:08,520 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:46:08,523 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:46:08,525 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:46:08,527 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:47:05,206 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:47:05,208 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-11 19:47:05,209 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:47:05,211 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:48:06,260 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:48:06,262 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-11 19:48:06,263 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:48:06,265 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:48:55,157 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:48:55,159 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-11 19:48:55,163 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:48:55,165 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:49:27,845 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:49:27,848 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:49:27,851 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:49:27,853 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:51:29,558 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:51:29,560 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-11 19:51:29,563 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:51:29,565 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:58:00,269 [Worker-68] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hp:homework10:0.0.1-SNAPSHOT @ C:\chenjian\eclipse1\workplace\homework10\pom.xml.
2019-03-11 19:58:00,826 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:58:00,830 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:58:00,844 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:58:00,845 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:58:03,048 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:58:03,051 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-11 19:58:03,057 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-11 19:58:03,059 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\chenjian\eclipse1\workplace\homework10\src\test\resources
2019-03-11 19:59:23,689 [Worker-74] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: maven_springmvc_mybatis_demo:maven_springmvc_mybatis_demo:0.0.1-SNAPSHOT @ C:\chenjian\eclipse1\workplace\homework10\pom.xml.
